Location,Law Enforcement Agencies,Law Enforcement Agencies: Other,Did An Arrest Occur?,Date of the incident
Galveston,TX Department of Public Safety,,,9/16/2024
Harris,Sheriff's Department,,Yes,9/17/2024
Bexar,Local Police Department,,No,9/26/2024
Webb,Sheriff's Department,,Yes,9/5/2024
Webb,Sheriff's Department,,Yes,9/26/2024
Hidalgo,TX Department of Public Safety,,No,9/10/2024
Bandera,Local Police Department,,No,9/2/2024
El Paso,TX Department of Public Safety,,No,11/21/2024
Hays,TX Department of Public Safety,,No,11/21/2024
Aransas,Local Police Department,,,11/20/2024
Fannin,"Local Police Department,""Private Security (hospital, bank, grocery store, etc.)""",,Yes,11/12/2024
Armstrong,TX Department of Public Safety,,No,12/5/2024
Bexar,Sheriff's Department,,,9/10/2024
Aransas,Local Police Department,,Yes,12/20/2024
Caldwell,Local Police Department,,Yes,12/2/2024
